"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Debt to gross domestic product (GDP)","Percent","239","units ","0","v52020746","1.1","60.28","","","","2"
"1990-01","Canada","2016A000011124","Debt to personal disposable income","Percent","239","units ","0","v52020747","1.2","88.59","","","","2"
"1990-01","Canada","2016A000011124","Credit market debt to personal disposable income","Percent","239","units ","0","v53030096","1.12","86.95","","","","2"
"1990-01","Canada","2016A000011124","Consumer credit and mortgage liabilities to personal disposable income","Percent","239","units ","0","v52020748","1.3","77.29","","","","2"
"1990-01","Canada","2016A000011124","Net worth as a percentage of personal disposable income","Percent","239","units ","0","v52020749","1.4","425.63","","","","2"
"1990-01","Canada","2016A000011124","Debt to total assets","Percent","239","units ","0","v52020750","1.5","17.60","","","","2"
"1990-01","Canada","2016A000011124","Debt to net worth","Percent","239","units ","0","v52020751","1.6","21.35","","","","2"
"1990-01","Canada","2016A000011124","Credit market debt to net worth","Percent","239","units ","0","v53030097","1.13","20.94","","","","2"
"1990-01","Canada","2016A000011124","Consumer credit and mortgage liabilities to net worth","Percent","239","units ","0","v52020752","1.7","18.53","","","","2"
"1990-01","Canada","2016A000011124","Total assets to net worth","Percent","239","units ","0","v52020753","1.8","121.35","","","","2"
"1990-01","Canada","2016A000011124","Financial assets to net worth","Percent","239","units ","0","v52020754","1.9","64.10","","","","2"
"1990-01","Canada","2016A000011124","Financial assets to non-financial assets","Percent","239","units ","0","v52020755","1.10","111.95","","","","2"
"1990-01","Canada","2016A000011124","Owner's equity as a percentage of real estate","Percent","239","units ","0","v52020756","1.11","69.24","","","","2"
"1990-01","Canada","2016A000011124","Real estate as a percentage of personal disposable income","Percent","239","units ","0","v53030098","1.14","192.97","","","","2"
"1990-04","Canada","2016A000011124","Debt to gross domestic product (GDP)","Percent","239","units ","0","v52020746","1.1","61.32","","","","2"
"1990-04","Canada","2016A000011124","Debt to personal disposable income","Percent","239","units ","0","v52020747","1.2","91.75","","","","2"
"1990-04","Canada","2016A000011124","Credit market debt to personal disposable income","Percent","239","units ","0","v53030096","1.12","90.03","","","","2"
"1990-04","Canada","2016A000011124","Consumer credit and mortgage liabilities to personal disposable income","Percent","239","units ","0","v52020748","1.3","79.85","","","","2"
"1990-04","Canada","2016A000011124","Net worth as a percentage of personal disposable income","Percent","239","units ","0","v52020749","1.4","421.19","","","","2"
"1990-04","Canada","2016A000011124","Debt to total assets","Percent","239","units ","0","v52020750","1.5","18.06","","","","2"
"1990-04","Canada","2016A000011124","Debt to net worth","Percent","239","units ","0","v52020751","1.6","22.04","","","","2"
"1990-04","Canada","2016A000011124","Credit market debt to net worth","Percent","239","units ","0","v53030097","1.13","21.55","","","","2"
"1990-04","Canada","2016A000011124","Consumer credit and mortgage liabilities to net worth","Percent","239","units ","0","v52020752","1.7","19.08","","","","2"
"1990-04","Canada","2016A000011124","Total assets to net worth","Percent","239","units ","0","v52020753","1.8","122.04","","","","2"
"1990-04","Canada","2016A000011124","Financial assets to net worth","Percent","239","units ","0","v52020754","1.9","65.28","","","","2"
"1990-04","Canada","2016A000011124","Financial assets to non-financial assets","Percent","239","units ","0","v52020755","1.10","115.00","","","","2"
"1990-04","Canada","2016A000011124","Owner's equity as a percentage of real estate","Percent","239","units ","0","v52020756","1.11","67.82","","","","2"
"1990-04","Canada","2016A000011124","Real estate as a percentage of personal disposable income","Percent","239","units ","0","v53030098","1.14","188.51","","","","2"
"1990-07","Canada","2016A000011124","Debt to gross domestic product (GDP)","Percent","239","units ","0","v52020746","1.1","62.11","","","","2"
"1990-07","Canada","2016A000011124","Debt to personal disposable income","Percent","239","units ","0","v52020747","1.2","90.78","","","","2"
"1990-07","Canada","2016A000011124","Credit market debt to personal disposable income","Percent","239","units ","0","v53030096","1.12","88.84","","","","2"
"1990-07","Canada","2016A000011124","Consumer credit and mortgage liabilities to personal disposable income","Percent","239","units ","0","v52020748","1.3","78.57","","","","2"
"1990-07","Canada","2016A000011124","Net worth as a percentage of personal disposable income","Percent","239","units ","0","v52020749","1.4","414.32","","","","2"
"1990-07","Canada","2016A000011124","Debt to total assets","Percent","239","units ","0","v52020750","1.5","18.37","","","","2"
"1990-07","Canada","2016A000011124","Debt to net worth","Percent","239","units ","0","v52020751","1.6","22.51","","","","2"
"1990-07","Canada","2016A000011124","Credit market debt to net worth","Percent","239","units ","0","v53030097","1.13","21.98","","","","2"
"1990-07","Canada","2016A000011124","Consumer credit and mortgage liabilities to net worth","Percent","239","units ","0","v52020752","1.7","19.44","","","","2"
"1990-07","Canada","2016A000011124","Total assets to net worth","Percent","239","units ","0","v52020753","1.8","122.51","","","","2"
"1990-07","Canada","2016A000011124","Financial assets to net worth","Percent","239","units ","0","v52020754","1.9","65.57","","","","2"
"1990-07","Canada","2016A000011124","Financial assets to non-financial assets","Percent","239","units ","0","v52020755","1.10","115.15","","","","2"
"1990-07","Canada","2016A000011124","Owner's equity as a percentage of real estate","Percent","239","units ","0","v52020756","1.11","67.11","","","","2"
"1990-07","Canada","2016A000011124","Real estate as a percentage of personal disposable income","Percent","239","units ","0","v53030098","1.14","185.07","","","","2"
"1990-10","Canada","2016A000011124","Debt to gross domestic product (GDP)","Percent","239","units ","0","v52020746","1.1","62.53","","","","2"
"1990-10","Canada","2016A000011124","Debt to personal disposable income","Percent","239","units ","0","v52020747","1.2","91.30","","","","2"
"1990-10","Canada","2016A000011124","Credit market debt to personal disposable income","Percent","239","units ","0","v53030096","1.12","89.24","","","","2"
"1990-10","Canada","2016A000011124","Consumer credit and mortgage liabilities to personal disposable income","Percent","239","units ","0","v52020748","1.3","79.01","","","","2"
"1990-10","Canada","2016A000011124","Net worth as a percentage of personal disposable income","Percent","239","units ","0","v52020749","1.4","417.56","","","","2"
"1990-10","Canada","2016A000011124","Debt to total assets","Percent","239","units ","0","v52020750","1.5","18.21","","","","2"
"1990-10","Canada","2016A000011124","Debt to net worth","Percent","239","units ","0","v52020751","1.6","22.26","","","","2"
"1990-10","Canada","2016A000011124","Credit market debt to net worth","Percent","239","units ","0","v53030097","1.13","21.76","","","","2"
"1990-10","Canada","2016A000011124","Consumer credit and mortgage liabilities to net worth","Percent","239","units ","0","v52020752","1.7","19.26","","","","2"
"1990-10","Canada","2016A000011124","Total assets to net worth","Percent","239","units ","0","v52020753","1.8","122.26","","","","2"
"1990-10","Canada","2016A000011124","Financial assets to net worth","Percent","239","units ","0","v52020754","1.9","65.35","","","","2"
"1990-10","Canada","2016A000011124","Financial assets to non-financial assets","Percent","239","units ","0","v52020755","1.10","114.83","","","","2"
"1990-10","Canada","2016A000011124","Owner's equity as a percentage of real estate","Percent","239","units ","0","v52020756","1.11","67.47","","","","2"
"1990-10","Canada","2016A000011124","Real estate as a percentage of personal disposable income","Percent","239","units ","0","v53030098","1.14","186.98","","","","2"
"1991-01","Canada","2016A000011124","Debt to gross domestic product (GDP)","Percent","239","units ","0","v52020746","1.1","62.51","","","","2"
"1991-01","Canada","2016A000011124","Debt to personal disposable income","Percent","239","units ","0","v52020747","1.2","91.79","","","","2"
"1991-01","Canada","2016A000011124","Credit market debt to personal disposable income","Percent","239","units ","0","v53030096","1.12","89.92","","","","2"
"1991-01","Canada","2016A000011124","Consumer credit and mortgage liabilities to personal disposable income","Percent","239","units ","0","v52020748","1.3","79.89","","","","2"
"1991-01","Canada","2016A000011124","Net worth as a percentage of personal disposable income","Percent","239","units ","0","v52020749","1.4","426.14","","","","2"
"1991-01","Canada","2016A000011124","Debt to total assets","Percent","239","units ","0","v52020750","1.5","17.76","","","","2"
"1991-01","Canada","2016A000011124","Debt to net worth","Percent","239","units ","0","v52020751","1.6","21.60","","","","2"
"1991-01","Canada","2016A000011124","Credit market debt to net worth","Percent","239","units ","0","v53030097","1.13","21.15","","","","2"
